field	SNV	indel	dbnsfp	sourceGroup	pivotGroup	pivotChar	parseGroup	transformation	order	notes
chr 	TRUE	FALSE	FALSE	1	1	|	1	NA	1	
pos	TRUE	FALSE	FALSE	1	1	|	1	NA	2	
ref	TRUE	FALSE	FALSE	1	1	|	1	NA	3	
alt	TRUE	FALSE	FALSE	1	1	|	1	NA	4	
ANNOVAR_ensembl_Effect	TRUE	FALSE	FALSE	2	2	|	2	NA	5	
ANNOVAR_ensembl_Transcript_ID	TRUE	FALSE	FALSE	2	2	|	2	NA	6	
ANNOVAR_ensembl_Gene_ID	TRUE	FALSE	FALSE	2	2	|	2	NA	7	
ANNOVAR_ensembl_Closest_gene(intergenic_only)	TRUE	FALSE	FALSE	2	2	|	2	NA	8	
ANNOVAR_ensembl_HGVSc	TRUE	FALSE	FALSE	2	2	|	2	NA	9	
ANNOVAR_ensembl_HGVSp	TRUE	FALSE	FALSE	2	2	|	2	NA	10	
ANNOVAR_ensembl_Exon_Rank	TRUE	FALSE	FALSE	2	2	|	2	NA	11	
ANNOVAR_ensembl_summary	FALSE	FALSE	FALSE	3	3	|	3	NA	12	
SnpEff_ensembl_Effect	TRUE	FALSE	FALSE	4	4	|	4	NA	13	
SnpEff_ensembl_Effect_impact	TRUE	FALSE	FALSE	4	4	|	4	NA	14	
SnpEff_ensembl_Sequence_feature	TRUE	FALSE	FALSE	4	4	|	4	NA	15	
SnpEff_ensembl_Sequence_feature_impact	TRUE	FALSE	FALSE	4	4	|	4	NA	16	
SnpEff_ensembl_Transcript_ID	TRUE	FALSE	FALSE	4	4	|	4	NA	17	
SnpEff_ensembl_Transcript_biotype	TRUE	FALSE	FALSE	4	4	|	4	NA	18	
SnpEff_ensembl_Gene_name	TRUE	FALSE	FALSE	4	4	|	4	NA	19	
SnpEff_ensembl_Gene_ID	TRUE	FALSE	FALSE	4	4	|	4	NA	20	
SnpEff_ensembl_HGVSc	TRUE	FALSE	FALSE	4	4	|	4	NA	21	
SnpEff_ensembl_HGVSp	TRUE	FALSE	FALSE	4	4	|	4	NA	22	
SnpEff_ensembl_Protein_position/Protein_len	TRUE	FALSE	FALSE	4	4	|	4	NA	23	
SnpEff_ensembl_CDS_position/CDS_len	TRUE	FALSE	FALSE	4	4	|	4	NA	24	
SnpEff_ensembl_cDNA_position/cDNA_len	TRUE	FALSE	FALSE	4	4	|	4	NA	25	
SnpEff_ensembl_Exon_or_intron_rank/total	TRUE	FALSE	FALSE	4	4	|	4	NA	26	
SnpEff_ensembl_Distance_to_feature	TRUE	FALSE	FALSE	4	4	|	4	NA	27	
SnpEff_ensembl_Warnings	TRUE	FALSE	FALSE	4	4	|	4	NA	28	
SnpEff_ensembl_LOF/NMD	TRUE	FALSE	FALSE	5	5	|	5	NA	29	
SnpEff_ensembl_LOF/NMD_gene_name	TRUE	FALSE	FALSE	6	6	|	6	NA	30	
SnpEff_ensembl_LOF/NMD_gene_ID	TRUE	FALSE	FALSE	7	7	|	7	NA	31	
SnpEff_ensembl_LOF/NMD_num_transcripts_affected	TRUE	FALSE	FALSE	8	8	|	8	NA	32	
SnpEff_ensembl_LOF/NMD_percent_transcripts_affected	TRUE	FALSE	FALSE	9	9	|	9	NA	33	
SnpEff_ensembl_TF_binding_effect	TRUE	FALSE	FALSE	10	10	|	10	NA	34	
SnpEff_ensembl_TF_name	TRUE	FALSE	FALSE	11	11	|	11	NA	35	
SnpEff_ensembl_TF_ID	TRUE	FALSE	FALSE	12	12	|	12	NA	36	
SnpEff_ensembl_summary	FALSE	FALSE	FALSE	13	13	|	13	NA	37	
VEP_ensembl_Consequence	TRUE	FALSE	FALSE	14	14	|	14	NA	38	
VEP_ensembl_Transcript_ID	TRUE	FALSE	FALSE	14	14	|	14	NA	39	
VEP_ensembl_Gene_Name	TRUE	FALSE	FALSE	14	14	|	14	NA	40	
VEP_ensembl_Gene_ID	TRUE	FALSE	FALSE	14	14	|	14	NA	41	
VEP_ensembl_Protein_ID	TRUE	FALSE	FALSE	14	14	|	14	NA	42	
VEP_ensembl_CCDS	TRUE	FALSE	FALSE	14	14	|	14	NA	43	
VEP_ensembl_SWISSPROT	TRUE	FALSE	FALSE	14	14	|	14	NA	44	
VEP_ensembl_Codon_Change_or_Distance	TRUE	FALSE	FALSE	14	14	|	14	NA	45	
VEP_ensembl_Amino_Acid_Change	TRUE	FALSE	FALSE	14	14	|	14	NA	46	
VEP_ensembl_HGVSc	TRUE	FALSE	FALSE	14	14	|	14	NA	47	
VEP_ensembl_HGVSp	TRUE	FALSE	FALSE	14	14	|	14	NA	48	
VEP_ensembl_cDNA_position	TRUE	FALSE	FALSE	14	14	|	14	NA	49	
VEP_ensembl_CDS_position	TRUE	FALSE	FALSE	14	14	|	14	NA	50	
VEP_ensembl_Protein_position	TRUE	FALSE	FALSE	14	14	|	14	NA	51	
VEP_ensembl_Exon_or_Intron_Rank	TRUE	FALSE	FALSE	14	14	|	14	NA	52	
VEP_ensembl_STRAND	TRUE	FALSE	FALSE	14	14	|	14	NA	53	
VEP_ensembl_CANONICAL	TRUE	FALSE	FALSE	14	14	|	14	NA	54	
VEP_ensembl_LoF	TRUE	FALSE	FALSE	14	14	|	14	NA	55	
VEP_ensembl_LoF_filter	TRUE	FALSE	FALSE	14	14	|	14	NA	56	
VEP_ensembl_LoF_flags	TRUE	FALSE	FALSE	14	14	|	14	NA	57	
VEP_ensembl_LoF_info	TRUE	FALSE	FALSE	14	14	|	14	NA	58	
VEP_ensembl_summary	FALSE	FALSE	FALSE	15	15	|	15	NA	59	
